subject,task,ctrl,cong,cost,kl,rt
33,S 72,L,I,0.009893975453544934,0.006133494319675106,0.8901333333333333
34,S 21,H,C,0.024065905384205968,0.012463790094273276,0.9396266666666666
34,S 22,H,I,0.0404895197317468,0.020836686303551847,0.9458264840182649
34,S 51,M,C,0.008786400947163433,0.004362102652903245,0.9824864864864865
34,S 52,M,I,0.03169641261490204,0.01621643321539699,1.0116756756756755
34,S 71,L,C,0.02951800778255704,0.015588972571387628,0.8656803652968036
34,S 72,L,I,0.05815214270868759,0.03150584457487078,0.95584
35,S 21,H,C,0.00588702259783533,0.003060729574562599,0.9160533333333333
35,S 22,H,I,0.008125903668284893,0.0040104932797398836,0.9578447488584475
35,S 51,M,C,0.006815483519169257,0.0035015841746535757,0.8775135135135136
35,S 52,M,I,0.007318940328077065,0.0034746761093795257,0.969945945945946
35,S 71,L,C,0.007073873879848825,0.0035240129781118675,0.8813150684931507
35,S 72,L,I,0.004791114020134359,0.0022324318717170744,1.1272533333333334
36,S 21,H,C,0.018230565206764388,0.00951233821826649,0.93152
36,S 22,H,I,0.011466350416567822,0.005965139582342372,0.9909771689497717
36,S 51,M,C,0.013356607279817929,0.00700171546245623,0.9648648648648649
36,S 52,M,I,0.014017234672241368,0.007471693461951597,1.0257297297297299
36,S 71,L,C,0.015281743702091696,0.007964244747540029,0.8611506849315068
36,S 72,L,I,0.016719029695597368,0.008901529170874792,1.04928
37,S 21,H,C,0.06159836314204059,0.03058512623699148,0.8872533333333333
37,S 22,H,I,0.07348113596751725,0.03714350726327783,0.9284383561643835
37,S 51,M,C,0.06334718659137115,0.03174675447967274,0.916
37,S 52,M,I,0.10082229536965658,0.051235948495799974,1.0372972972972974
37,S 71,L,C,0.06279861119546641,0.031515598485841505,0.8679452054794521
37,S 72,L,I,0.09883990019356279,0.05012535841869176,1.0575999999999999
38,S 21,H,C,0.01036631270810448,0.0049265770013409895,1.1518933333333334
38,S 22,H,I,0.014189966640483529,0.006714399101744392,1.1908675799086759
38,S 51,M,C,0.01921833086629043,0.010035550248523225,1.092864864864865
38,S 52,M,I,0.016684087577933823,0.008268452933128025,1.1846486486486487
38,S 71,L,C,0.011045687789375013,0.005381722715890604,1.0560730593607306
38,S 72,L,I,0.01179035537231711,0.0059517773174922114,1.3045333333333333
39,S 21,H,C,0.012678002112315092,0.006941635693214113,1.1264
39,S 22,H,I,0.03400897780341784,0.018413205904034828,1.2351415525114156
39,S 51,M,C,0.0038025166040230257,0.0020667363002167534,1.2473513513513512
39,S 52,M,I,0.027916909792461423,0.015475140937727762,1.4095135135135135
39,S 71,L,C,0.0039240709260165724,0.002179978420057867,1.1718721461187216
39,S 72,L,I,0.02517537689484883,0.013695057331413924,1.3674666666666666
40,S 21,H,C,0.007566421275901031,0.0038409721080287437,0.8466133333333333
40,S 22,H,I,0.01812044511030872,0.008119700437207913,0.9854611872146118
40,S 51,M,C,0.0035286687880474567,0.0012567427802928997,0.8861621621621621
40,S 52,M,I,0.012984226754557678,0.005852959303024267,1.1265945945945945
40,S 71,L,C,0.009443401746207733,0.004185603211945121,0.8609680365296803
40,S 72,L,I,0.01157464386448903,0.005314446447192894,1.1104
41,S 21,H,C,0.03663155518237719,0.02123198506189545,0.9726933333333334
41,S 22,H,I,0.026701645021362852,0.015112337416612436,0.9747579908675799
